Episode,Reward,Length,Epsilon
0,-194.54623847461355,110,0.995
1,-598.6032457092143,110,0.990025
2,-279.1081195666784,108,0.985074875
3,-383.49585883230907,106,0.9801495006250001
4,-297.7416831511109,122,0.9752487531218751
5,-347.0589070563916,89,0.9703725093562657
6,-227.58272865473782,87,0.9655206468094844
7,-129.9028164061779,68,0.960693043575437
8,-194.25427626293776,94,0.9558895783575597
9,-366.63889834794884,110,0.9511101304657719
10,-234.45981888142282,74,0.946354579813443
11,-164.8248264917961,84,0.9416228069143757
12,-263.653039096974,83,0.9369146928798039
13,-267.54184376054957,102,0.9322301194154049
14,-341.42949443893883,120,0.9275689688183278
15,-285.66627118451794,104,0.9229311239742362
16,-522.7726775352778,82,0.918316468354365
17,-222.25075169865153,113,0.9137248860125932
18,-298.12410808282084,92,0.9091562615825302
19,-139.08103611196924,68,0.9046104802746175
20,-187.84892176580422,67,0.9000874278732445
21,-214.33924432259832,96,0.8955869907338783
22,-173.55340904019312,87,0.8911090557802088
23,-88.82668103349502,76,0.8866535105013078
24,-365.44211773700056,110,0.8822202429488013
25,-288.3625653092847,96,0.8778091417340573
26,-315.63708282344663,123,0.8734200960253871
27,-175.86748468755354,77,0.8690529955452602
28,-375.42254264883013,119,0.8647077305675338
29,-96.0702905729825,88,0.8603841919146962
30,-126.55519832763765,89,0.8560822709551227
31,-414.63046332137856,132,0.851801859600347
32,-81.97159143245034,87,0.8475428503023453
33,-218.8086261957755,66,0.8433051360508336
34,-320.48627904840146,81,0.8390886103705794
35,-316.38980805681626,123,0.8348931673187264
36,-381.9630828050073,93,0.8307187014821328
37,-321.23603180697955,116,0.8265651079747222
38,-150.18318781496978,77,0.8224322824348486
39,-118.73551488088334,70,0.8183201210226743
40,-176.65191343091004,118,0.8142285204175609
41,-120.39804156526954,109,0.810157377815473
42,-164.13854695434298,82,0.8061065909263957
43,-243.988215840411,148,0.8020760579717637
44,-189.9794091386164,89,0.798065677681905
45,-38.654033043918076,76,0.7940753492934954
46,-216.65115607285352,98,0.7901049725470279
47,-77.15879670954244,106,0.7861544476842928
48,-409.37001898615244,117,0.7822236754458713
49,-134.43028162720958,64,0.778312557068642
50,-223.00112665493367,122,0.7744209942832988
51,-131.755145374275,72,0.7705488893118823
52,-158.1774252607139,132,0.7666961448653229
53,-217.567823777569,63,0.7628626641409962
54,-122.55113385974488,75,0.7590483508202912
55,-82.80112957450021,79,0.7552531090661897
56,-423.52223088042757,107,0.7514768435208588
57,-179.52669431828522,72,0.7477194593032545
58,-151.51768594286347,76,0.7439808620067382
59,-307.98457662215844,126,0.7402609576967045
60,-363.63654217902507,118,0.736559652908221
61,-85.46205604782128,86,0.7328768546436799
62,-225.76095064885652,92,0.7292124703704616
63,-206.07376319114985,79,0.7255664080186093
64,-121.51427647993302,95,0.7219385759785162
65,32.220695381617475,163,0.7183288830986236
66,-252.32210886296556,115,0.7147372386831305
67,-205.85251470561377,111,0.7111635524897149
68,-148.52928345445332,108,0.7076077347272662
69,-10.075122991996594,69,0.7040696960536299
70,-154.56019933753123,93,0.7005493475733617
71,-104.65737978465275,103,0.697046600835495
72,-141.13906389241788,94,0.6935613678313175
73,-131.2403644831594,154,0.6900935609921609
74,-146.40679690259992,79,0.6866430931872001
75,-96.88370524639863,90,0.6832098777212641
76,5.589365749786552,158,0.6797938283326578
77,-187.0813456586376,98,0.6763948591909945
78,-54.77105108273521,77,0.6730128848950395
79,-158.15701053887364,89,0.6696478204705644
80,-97.5364361251624,133,0.6662995813682115
81,28.833542779183944,78,0.6629680834613705
82,-109.67164261009063,100,0.6596532430440636
83,-85.74271453678085,86,0.6563549768288433
84,-181.8193714317166,131,0.653073201944699
85,-59.069850934796854,122,0.6498078359349755
86,-206.57679135201886,72,0.6465587967553006
87,-172.57578402719807,68,0.6433260027715241
88,-118.09309610798147,77,0.6401093727576664
89,-121.78196298601759,104,0.6369088258938781
90,-340.3425293136203,123,0.6337242817644086
91,-90.73736367263412,125,0.6305556603555866
92,-5.634096610605155,114,0.6274028820538087
93,-53.555060087383644,71,0.6242658676435396
94,-29.36101372221367,144,0.6211445383053219
95,-103.72733739021015,98,0.6180388156137953
96,-52.0593505345062,107,0.6149486215357263
97,-66.99896477946356,101,0.6118738784280476
98,-105.41861156587503,79,0.6088145090359074
99,-130.07103055937026,93,0.6057704364907278
100,-58.41677091031531,106,0.6027415843082742
101,-224.42903924568918,182,0.5997278763867329
102,-36.311575369577625,150,0.5967292370047992
