Episode,Reward,Length,Epsilon,Termination
0,-88.770133411833,67,0.9670468094797544,crash
1,-101.45083971280062,125,0.9084422059237025,crash
2,-478.3753271771635,113,0.8585261511080049,crash
3,-227.22773021824364,110,0.8125710744985801,crash
4,-279.01901430109,117,0.7663881439990762,crash
5,-309.31583337280676,141,0.7142057784510548,crash
6,-379.50983266996025,106,0.6773295074142136,crash
7,-48.136584803154484,162,0.624616345939778,crash
8,-176.3217984989746,86,0.5983206780710941,crash
9,-82.46307269601992,139,0.5581398065549269,crash
10,-147.5058291237272,109,0.5285280353045808,crash
11,-85.72794962892632,148,0.4908199425080738,crash
12,-21.132052562239977,124,0.4613061117746347,crash
13,-199.23668638731874,124,0.43356699744760513,crash
14,-160.09156725833773,130,0.40627492227974177,crash
15,-6.876624709776266,243,0.35978250416713436,crash
16,-225.0948448306492,284,0.3121438633280831,crash
17,-76.6880155197844,177,0.28569992581268916,crash
18,-173.47775423039462,528,0.21939549789648974,crash
19,-434.01181973812044,361,0.18315465175548062,crash
20,-88.34372176505177,1000,0.1110750218827092,out-of-view
21,-58.023732206003814,1000,0.067361982717838,out-of-view
22,-87.5953995134847,1000,0.04085199929530392,out-of-view
23,181.29611549198802,773,0.027753420816051543,sleep
24,232.17070339290174,425,0.0224391222064675,sleep
25,8.521466588799035,1000,0.01999089815867558,out-of-view
26,-42.235019329228024,103,0.01999089815867558,crash
27,-74.88568681282831,97,0.01999089815867558,crash
28,-68.33004247404706,64,0.01999089815867558,crash
29,-60.569804792607094,98,0.01999089815867558,crash
30,-100.6111702938921,387,0.01999089815867558,crash
31,-156.14728074573355,603,0.01999089815867558,crash
32,-136.2439307880241,462,0.01999089815867558,crash
33,4.826293320871869,88,0.01999089815867558,crash
34,143.6026387439017,989,0.01999089815867558,sleep
35,-178.70542890899637,56,0.01999089815867558,crash
36,-143.58872694810066,611,0.01999089815867558,crash
37,-79.69529236905028,81,0.01999089815867558,crash
38,-143.8837372072411,515,0.01999089815867558,crash
39,-92.98340293356803,83,0.01999089815867558,crash
40,-17.31399820121167,1000,0.01999089815867558,out-of-view
41,-101.79046147842547,175,0.01999089815867558,crash
42,-63.453751470910625,246,0.01999089815867558,crash
43,-132.42891588759062,253,0.01999089815867558,crash
44,-32.985128036827504,435,0.01999089815867558,crash
45,-29.605043134009033,1000,0.01999089815867558,out-of-view
46,-203.7548355626094,805,0.01999089815867558,crash
47,-538.0832660352539,671,0.01999089815867558,crash
48,-111.8779796935495,292,0.01999089815867558,crash
49,-45.34211170065998,1000,0.01999089815867558,out-of-view
50,-26.391686768610043,1000,0.01999089815867558,out-of-view
51,-25.667978158805443,1000,0.01999089815867558,out-of-view
52,9.703494135492155,1000,0.01999089815867558,out-of-view
53,72.34484522742285,893,0.01999089815867558,sleep
54,-8.444806594549044,1000,0.01999089815867558,out-of-view
55,-66.38577131256346,241,0.01999089815867558,crash
56,6.7997741301808174,1000,0.01999089815867558,out-of-view
57,-67.22038632603348,513,0.01999089815867558,crash
58,-165.64168346704895,284,0.01999089815867558,crash
59,-66.12634756657971,162,0.01999089815867558,crash
60,-147.7860802648035,405,0.01999089815867558,crash
61,-91.95192109617254,278,0.01999089815867558,crash
62,-29.399041267000822,1000,0.01999089815867558,out-of-view
63,-26.896334313479326,1000,0.01999089815867558,out-of-view
64,-66.1919833993082,1000,0.01999089815867558,out-of-view
65,-67.62461054672819,277,0.01999089815867558,crash
66,5.656151926525728,1000,0.01999089815867558,out-of-view
67,8.064907388977655,1000,0.01999089815867558,out-of-view
68,-48.54898773785967,232,0.01999089815867558,crash
69,17.103338250887646,1000,0.01999089815867558,out-of-view
70,-50.80749320628145,1000,0.01999089815867558,out-of-view
71,-78.89739014551311,1000,0.01999089815867558,out-of-view
72,-297.48772782165105,545,0.01999089815867558,crash
73,-36.40043152448595,1000,0.01999089815867558,out-of-view
74,-14.791346598773973,1000,0.01999089815867558,out-of-view
75,-23.880462761443848,1000,0.01999089815867558,out-of-view
76,-33.06341873624716,1000,0.01999089815867558,out-of-view
77,-29.97556740391222,1000,0.01999089815867558,out-of-view
78,-38.039675048365176,1000,0.01999089815867558,out-of-view
79,5.761236876587212,1000,0.01999089815867558,out-of-view
80,-44.79100925624065,1000,0.01999089815867558,out-of-view
81,-77.61483700335316,1000,0.01999089815867558,out-of-view
82,-41.14765187795517,1000,0.01999089815867558,out-of-view
83,-57.903048099461756,1000,0.01999089815867558,out-of-view
84,-122.8611494887555,1000,0.01999089815867558,out-of-view
85,-115.07623646239546,1000,0.01999089815867558,out-of-view
86,-59.991976305584195,1000,0.01999089815867558,out-of-view
87,-192.9727021099442,163,0.01999089815867558,crash
88,-96.33981897313303,1000,0.01999089815867558,out-of-view
89,-113.14449884661126,235,0.01999089815867558,crash
90,-120.20315307545995,1000,0.01999089815867558,out-of-view
91,-208.815211517617,254,0.01999089815867558,crash
92,-248.60046848012922,960,0.01999089815867558,crash
93,-5.798295678878893,1000,0.01999089815867558,out-of-view
94,-91.32335044612965,189,0.01999089815867558,crash
95,-240.56812385018642,783,0.01999089815867558,crash
96,-9.092586401433733,1000,0.01999089815867558,out-of-view
97,-275.2532856009477,837,0.01999089815867558,crash
98,-27.14522441174872,1000,0.01999089815867558,out-of-view
99,-204.48562702276053,494,0.01999089815867558,crash
100,-124.65280218860983,303,0.01999089815867558,crash
101,-186.5049963289585,672,0.01999089815867558,crash
102,-94.1986155017156,205,0.01999089815867558,crash
103,-236.85331957601184,859,0.01999089815867558,crash
104,-99.750324011818,271,0.01999089815867558,crash
105,-17.501691642390973,1000,0.01999089815867558,out-of-view
106,-136.84283548155219,119,0.01999089815867558,crash
107,-183.38757355083953,948,0.01999089815867558,crash
108,-87.93581833380503,1000,0.01999089815867558,out-of-view
109,-135.2515908672605,417,0.01999089815867558,crash
110,-16.11078490451202,1000,0.01999089815867558,out-of-view
111,6.66369042105037,1000,0.01999089815867558,out-of-view
112,-114.19882616909825,177,0.01999089815867558,crash
113,-29.307413805776573,1000,0.01999089815867558,out-of-view
114,-156.02024472966718,553,0.01999089815867558,crash
115,-72.39895897996921,1000,0.01999089815867558,out-of-view
116,-58.71730807872294,237,0.01999089815867558,crash
117,-165.44786738272592,140,0.01999089815867558,crash
118,-233.0087313449128,869,0.01999089815867558,crash
119,-32.04832685962379,1000,0.01999089815867558,out-of-view
120,-55.23310683900929,1000,0.01999089815867558,out-of-view
121,-167.69699172247886,771,0.01999089815867558,crash
122,-65.91425402233318,1000,0.01999089815867558,out-of-view
123,195.79719109154928,487,0.01999089815867558,sleep
124,-13.945732989885542,1000,0.01999089815867558,out-of-view
125,-24.3280511357042,1000,0.01999089815867558,out-of-view
126,-49.87723333495758,1000,0.01999089815867558,out-of-view
127,-270.4013960394942,608,0.01999089815867558,crash
128,-119.55006640207044,1000,0.01999089815867558,out-of-view
129,-57.35936254486175,1000,0.01999089815867558,out-of-view
130,-87.63416987930279,1000,0.01999089815867558,out-of-view
131,-11.772273240225998,1000,0.01999089815867558,out-of-view
132,-165.86861901599246,420,0.01999089815867558,crash
133,-221.83597044177446,384,0.01999089815867558,crash
134,-142.87442138909694,169,0.01999089815867558,crash
135,-47.29210441678272,1000,0.01999089815867558,out-of-view
136,-156.75522998694322,408,0.01999089815867558,crash
137,-97.31569801771873,1000,0.01999089815867558,out-of-view
138,-134.85704427154715,1000,0.01999089815867558,out-of-view
139,-134.16951501819676,468,0.01999089815867558,crash
140,-151.40464984404065,301,0.01999089815867558,crash
141,-54.6331682901095,1000,0.01999089815867558,out-of-view
142,-84.2608800837075,1000,0.01999089815867558,out-of-view
143,-27.772449411168612,1000,0.01999089815867558,out-of-view
144,-100.60234506644578,1000,0.01999089815867558,out-of-view
145,-38.08019112025141,1000,0.01999089815867558,out-of-view
146,-36.018151438245184,1000,0.01999089815867558,out-of-view
147,-112.81309084304989,446,0.01999089815867558,crash
148,27.409249380879686,1000,0.01999089815867558,out-of-view
149,20.841665915454815,1000,0.01999089815867558,out-of-view
150,-81.44217514569765,1000,0.01999089815867558,out-of-view
151,-133.1396548783763,1000,0.01999089815867558,out-of-view
152,4.3672541001710865,1000,0.01999089815867558,out-of-view
153,22.922880644756283,1000,0.01999089815867558,out-of-view
154,4.211748238679273,1000,0.01999089815867558,out-of-view
155,-4.818242335613751,1000,0.01999089815867558,out-of-view
156,13.486244071312116,1000,0.01999089815867558,out-of-view
157,-54.18149559308328,1000,0.01999089815867558,out-of-view
158,-19.165227688644208,1000,0.01999089815867558,out-of-view
159,-59.160937252481105,1000,0.01999089815867558,out-of-view
