Episode,Reward,Length,Epsilon,Termination,Loss
0,-88.770133411833,67,0.9670468094797544,crash,1.155609627564748
1,-101.45083971280062,125,0.9084422059237025,crash,1.5490969281196594
2,-478.3753271771635,113,0.8585261511080049,crash,1.698073751367299
3,-227.22773021824364,110,0.8125710744985801,crash,1.7405695866454731
4,-279.01901430109,117,0.7663881439990762,crash,1.8957112299071417
5,-309.31583337280676,141,0.7142057784510548,crash,1.8178386396550117
6,-379.50983266996025,106,0.6773295074142136,crash,1.62759083284522
7,-48.136584803154484,162,0.624616345939778,crash,1.5983231562523195
8,-176.3217984989746,86,0.5983206780710941,crash,1.5031868035710134
9,-82.46307269601992,139,0.5581398065549269,crash,1.4613069728981676
10,-147.5058291237272,109,0.5285280353045808,crash,1.4089084696879082
11,-85.72794962892632,148,0.4908199425080738,crash,1.569778822362423
12,-21.132052562239977,124,0.4613061117746347,crash,1.6455279713676823
13,-199.23668638731874,124,0.43356699744760513,crash,1.5803473757640008
14,-160.09156725833773,130,0.40627492227974177,crash,1.398981973528862
15,-6.876624709776266,243,0.35978250416713436,crash,1.3452237499839483
16,-225.0948448306492,284,0.3121438633280831,crash,1.4081088530135826
17,-76.6880155197844,177,0.28569992581268916,crash,1.357626984853529
18,-173.47775423039462,528,0.21939549789648974,crash,1.223001582604466
19,-434.01181973812044,361,0.18315465175548062,crash,1.1466685821640195
20,-88.34372176505177,1000,0.1110750218827092,out-of-view,1.1852855330109597
21,-58.023732206003814,1000,0.067361982717838,out-of-view,1.1317369630634784
22,-87.5953995134847,1000,0.04085199929530392,out-of-view,0.9578316527307034
23,181.29611549198802,773,0.027753420816051543,sleep,0.9066100462519336
24,232.17070339290174,425,0.0224391222064675,sleep,0.9337539763310376
25,8.521466588799035,1000,0.01999089815867558,out-of-view,0.8872805007100105
26,-42.235019329228024,103,0.01999089815867558,crash,0.8513998881127071
27,-74.88568681282831,97,0.01999089815867558,crash,0.8864486137616265
28,-68.33004247404706,64,0.01999089815867558,crash,0.9645193656906486
29,-60.569804792607094,98,0.01999089815867558,crash,0.9727189735490449
30,-100.6111702938921,387,0.01999089815867558,crash,0.9409725694539319
31,-156.14728074573355,603,0.01999089815867558,crash,0.901305886297479
32,-136.2439307880241,462,0.01999089815867558,crash,0.8594962283001317
33,4.826293320871869,88,0.01999089815867558,crash,0.8530162647366524
34,143.6026387439017,989,0.01999089815867558,sleep,0.8943192542985429
35,-178.70542890899637,56,0.01999089815867558,crash,0.9142934876893248
36,-143.58872694810066,611,0.01999089815867558,crash,0.8906223369112967
37,-79.69529236905028,81,0.01999089815867558,crash,0.8945090803835127
38,-143.8837372072411,515,0.01999089815867558,crash,0.9434553686276222
39,-92.98340293356803,83,0.01999089815867558,crash,0.7994026419628097
40,-17.31399820121167,1000,0.01999089815867558,out-of-view,0.905998323649168
41,-101.79046147842547,175,0.01999089815867558,crash,0.8698319244384766
42,-63.453751470910625,246,0.01999089815867558,crash,0.8565551690696701
43,-132.42891588759062,253,0.01999089815867558,crash,0.8275075924726343
44,-32.985128036827504,435,0.01999089815867558,crash,0.7989299054118408
45,-29.605043134009033,1000,0.01999089815867558,out-of-view,0.8626868400275707
46,-203.7548355626094,805,0.01999089815867558,crash,0.8111666395057062
47,-538.0832660352539,671,0.01999089815867558,crash,0.8060426377148635
48,-111.8779796935495,292,0.01999089815867558,crash,0.7727346533577736
49,-45.34211170065998,1000,0.01999089815867558,out-of-view,0.7775185025334358
